TransactionID,Date,CustomerID,Region,Category,Product,Quantity,UnitPrice,Discount,TotalRevenue
TXN-10001,2024-01-29,CUST-428,East,Technology,Edge Router,8,616,12%,4336.64
TXN-10002,2024-01-25,CUST-466,East,Technology,Edge Router,3,799,15%,2037.45
TXN-10003,2024-02-24,CUST-385,Central,Office Supplies,Paper White,7,1774,8%,11424.56
TXN-10004,2024-01-12,CUST-298,West,Technology,Neural Tablet,4,898,18%,2945.44
TXN-10005,2024-01-19,CUST-124,East,Technology,Laptop Pro,2,1469,20%,2350.4
TXN-10006,2024-01-23,CUST-224,Central,Furniture,Velvet Ottoman,10,861,9%,7835.1
TXN-10007,2024-03-04,CUST-251,East,Furniture,Velvet Ottoman,10,1151,8%,10589.2
TXN-10008,2024-03-22,CUST-161,North,Furniture,Minimalist Sofa,5,1534,8%,7056.4
TXN-10009,2024-02-11,CUST-448,East,Furniture,Oak Sideboard,4,955,12%,3361.6
TXN-10010,2024-03-20,CUST-800,East,Office Supplies,Ergo Chair,7,350,11%,2180.5
TXN-10011,2024-03-09,CUST-428,Central,Furniture,Oak Sideboard,11,2027,4%,21405.12
TXN-10012,2024-01-02,CUST-719,North,Furniture,Velvet Ottoman,10,1685,18%,13817.0
TXN-10013,2024-02-20,CUST-909,Central,Technology,Edge Router,12,2430,13%,25369.2
TXN-10014,2024-01-12,CUST-923,East,Office Supplies,Executive Desk,9,1336,19%,9739.44
TXN-10015,2024-01-23,CUST-286,South,Office Supplies,Executive Desk,10,1200,6%,11280.0
TXN-10016,2024-03-12,CUST-452,North,Technology,Edge Router,9,438,10%,3547.8
TXN-10017,2024-01-15,CUST-300,North,Office Supplies,Executive Desk,1,1507,19%,1220.67
TXN-10018,2024-01-16,CUST-425,East,Office Supplies,Executive Desk,13,1908,20%,19843.2
TXN-10019,2024-02-16,CUST-884,North,Furniture,Velvet Ottoman,9,185,15%,1415.25
TXN-10020,2024-03-24,CUST-971,North,Furniture,Minimalist Sofa,12,787,17%,7838.52
TXN-10021,2024-03-27,CUST-541,North,Office Supplies,Paper White,5,2118,6%,9954.6
TXN-10022,2024-01-11,CUST-812,Central,Furniture,Velvet Ottoman,5,1222,3%,5926.7
TXN-10023,2024-01-10,CUST-739,South,Furniture,Oak Sideboard,8,1927,10%,13874.4
TXN-10024,2024-03-05,CUST-279,Central,Office Supplies,Ergo Chair,3,1910,9%,5214.3
TXN-10025,2024-02-24,CUST-490,North,Office Supplies,Smart Ledger,5,1136,9%,5168.8
